id_municipio,sigla_uf,regiao,taxa_alfabetizacao,prob_risco
5202502,GO,Centro-Oeste,90.33,0.0016419604036495127
3112000,MG,Sudeste,90.37,0.0016394071071033074
5213905,GO,Centro-Oeste,100.0,0.001619731565244963
3160405,MG,Sudeste,81.35,0.001591067191089049
2304301,CE,Nordeste,96.0,0.0015814430111434066
5212253,GO,Centro-Oeste,76.19,0.0015761313337566817
3106408,MG,Sudeste,97.32,0.0015734899390558656
2313955,CE,Nordeste,98.06,0.0015692753850541856
2303956,CE,Nordeste,97.15,0.0015234406913243919
3113602,MG,Sudeste,74.18,0.0015219378416126345
2312205,CE,Nordeste,95.08,0.0015142777486816805
2306504,CE,Nordeste,92.57,0.0015059729775414104
4126405,PR,Sul,90.98,0.0014872345587163625
5201603,GO,Centro-Oeste,93.21,0.0014863012967598294
5210562,GO,Centro-Oeste,77.71,0.001485503262793239
5220058,GO,Centro-Oeste,87.5,0.0013909989057281126
2304103,CE,Nordeste,97.31,0.001387986554963349
3149408,MG,Sudeste,100.0,0.0013871544593177727
2303303,CE,Nordeste,95.26,0.0013801251206793078
3165008,MG,Sudeste,94.92,0.0013414409103019035
3100807,MG,Sudeste,88.68,0.001290221332290441
2311231,CE,Nordeste,97.47,0.0012649581818676998
3142403,MG,Sudeste,81.94,0.0012617281680097757
2305209,CE,Nordeste,96.11,0.001260337176912138
5215900,GO,Centro-Oeste,82.81,0.001255850496850372
5206800,GO,Centro-Oeste,97.08,0.001245208105065561
2310803,CE,Nordeste,93.44,0.0012279971208687224
2305654,CE,Nordeste,99.16,0.0011731032365450125
2313203,CE,Nordeste,98.31,0.0011658864219264967
2304285,CE,Nordeste,93.91,0.0011544092259111235
5212600,GO,Centro-Oeste,71.43,0.0011248661416844886
2303105,CE,Nordeste,98.77,0.0011192883346305795
5216304,GO,Centro-Oeste,97.01,0.0011160237669351823
3141603,MG,Sudeste,84.85,0.001100514037094039
2306207,CE,Nordeste,96.74,0.0010988344324026646
5210158,GO,Centro-Oeste,96.55,0.0010970148259259425
5205703,GO,Centro-Oeste,100.0,0.001094949418797657
3122801,MG,Sudeste,84.85,0.0010938696077973907
2304277,CE,Nordeste,95.0,0.0010913420865592334
5215207,GO,Centro-Oeste,54.84,0.0010426001780094027
2309300,CE,Nordeste,99.64,0.0010312100182293018
2304350,CE,Nordeste,100.0,0.0010194719151392687
2304459,CE,Nordeste,93.28,0.0009903442588878961
5210208,GO,Centro-Oeste,83.04,0.0009881859415608648
