id_municipio,ano,sigla_uf,regiao,prob_atingir_meta,prob_risco,atingiu_observado
2918803,2024,BA,Nordeste,0.0031748256650435407,0.9968251743349564,0
4113254,2024,PR,Sul,0.0031895776453856432,0.9968104223546144,0
3109402,2024,MG,Sudeste,0.003195410653463104,0.9968045893465369,1
2924306,2024,BA,Nordeste,0.0032395326388167545,0.9967604673611833,0
2201804,2024,PI,Nordeste,0.0032413333810512174,0.9967586666189487,0
1508035,2024,PA,Norte,0.00325053153872425,0.9967494684612758,0
3305000,2024,RJ,Sudeste,0.0032531200487325865,0.9967468799512674,0
1702109,2024,TO,Norte,0.003268396783310025,0.99673160321669,1
2613008,2024,PE,Nordeste,0.0032695559957107603,0.9967304440042892,1
1500503,2024,PA,Norte,0.0032713457353174746,0.9967286542646825,0
5106315,2024,MT,Centro-Oeste,0.0032757756161352746,0.9967242243838648,0
3302700,2024,RJ,Sudeste,0.0032899985368812223,0.9967100014631187,0
5104104,2024,MT,Centro-Oeste,0.003331412928346564,0.9966685870716534,0
2513802,2024,PB,Nordeste,0.003344325348703975,0.996655674651296,0
1507474,2024,PA,Norte,0.003345569515712399,0.9966544304842876,0
3153707,2024,MG,Sudeste,0.003347526153458016,0.996652473846542,1
3143203,2024,MG,Sudeste,0.00334776032058598,0.996652239679414,1
2516805,2024,PB,Nordeste,0.0033497694472087577,0.9966502305527912,1
2500577,2024,PB,Nordeste,0.003371576353245453,0.9966284236467545,0
3553500,2024,SP,Sudeste,0.0033819653713105307,0.9966180346286895,0
3301504,2024,RJ,Sudeste,0.003393763254871462,0.9966062367451285,0
2512002,2024,PB,Nordeste,0.003394990248366873,0.9966050097516331,0
3157906,2024,MG,Sudeste,0.003401505027232792,0.9965984949727672,0
2210391,2024,PI,Nordeste,0.003409445628896876,0.9965905543711031,1
3114550,2024,MG,Sudeste,0.0034234529577911294,0.9965765470422089,1
3556909,2024,SP,Sudeste,0.003430972407191357,0.9965690275928086,0
5006358,2024,MS,Centro-Oeste,0.0034321409956543465,0.9965678590043456,1
3542909,2024,SP,Sudeste,0.0034380672080627237,0.9965619327919373,0
3512209,2024,SP,Sudeste,0.003439700697789076,0.9965602993022109,0
3552304,2024,SP,Sudeste,0.003442886548037036,0.996557113451963,0
3546603,2024,SP,Sudeste,0.003447269258488447,0.9965527307415115,0
2110203,2024,MA,Nordeste,0.003455529230615246,0.9965444707693848,0
1507151,2024,PA,Norte,0.003464894610409292,0.9965351053895907,0
3117405,2024,MG,Sudeste,0.0034743451445496077,0.9965256548554504,0
2412005,2024,RN,Nordeste,0.003484206276924935,0.9965157937230751,0
2706109,2024,AL,Nordeste,0.0034890879350987407,0.9965109120649013,1
3509254,2024,SP,Sudeste,0.0034957376571315515,0.9965042623428685,0
3134004,2024,MG,Sudeste,0.0035061995097734064,0.9964938004902266,1
1101401,2024,RO,Norte,0.0035316401457096214,0.9964683598542904,0
1501204,2024,PA,Norte,0.0035324174746198594,0.9964675825253801,0
3165552,2024,MG,Sudeste,0.0035363863634085098,0.9964636136365915,1
3518404,2024,SP,Sudeste,0.0035372590754513137,0.9964627409245487,0
1503200,2024,PA,Norte,0.0035510582822079165,0.9964489417177921,0
4216503,2024,SC,Sul,0.0035605771012274146,0.9964394228987726,0
3524907,2024,SP,Sudeste,0.003568691687194336,0.9964313083128057,0
2410405,2024,RN,Nordeste,0.0035922578974460963,0.9964077421025539,0
3163003,2024,MG,Sudeste,0.0036088738325633445,0.9963911261674366,0
